person_id,name,name_type,case_id,role,is_matching_pair
PID95241,Saanjay Paatel,transliteration,C7681,witness,1
PID95241,Saanjay Paatel,transliteration,C4895,witness,1
PID95241,Sanjcy Pate,typo,C4306,suspect,1
PID71572,Rahul Agarwal,standard,C6686,reporter,1
PID71572,Rahool Agaarwal,transliteration,C4657,witness,1
PID63388,Ishaan Yadav,standard,C2442,witness,1
PID63388,Ishhaan Yadab,phonetic,C4669,reporter,1
PID63388,Ishaa Yadnv,typo,C1539,witness,1
PID64282,Divya Joshi,standard,C4144,victim,1
PID64282,Divya Joshhi,phonetic,C3690,victim,1
PID83381,Neha Joshi,non_matching,C8297,victim,0
PID21722,Manish Kumar,standard,C2512,victim,1
PID21722,Manlish Kumear,typo,C6154,witness,1
PID88301,Yash Singh,standard,C9850,witness,1
PID88301,Yas Seengh,transliteration,C4846,suspect,1
PID88301,Yaash Seengh,transliteration,C4510,reporter,1
PID88301,Yaash Seengh,transliteration,C8688,reporter,1
PID31567,Neha Patel,standard,C4044,reporter,1
PID31567,Nehaa Paatel,transliteration,C3287,witness,1
PID83821,Divya Patel,non_matching,C9500,suspect,0
PID99827,Pooja Yadav,standard,C6211,witness,1
PID99827,Poojaa Yadaw,transliteration,C4292,suspect,1
PID99827,Puja Yadaw,transliteration,C4248,victim,1
PID31914,Ravi Gupta,standard,C8886,witness,1
PID31914,Ravv Guupta,typo,C6501,witness,1
PID31914,Rabi Guptha,phonetic,C1864,suspect,1
PID20764,Shreya Gupta,non_matching,C4332,suspect,0
PID67506,Deepak Kumar,standard,C6970,suspect,1
PID67506,Deepak Kummar,phonetic,C1621,witness,1
PID67506,Deepaak Kumaar,transliteration,C2955,witness,1
PID67506,Dipak Koomar,transliteration,C9042,witness,1
PID72046,Amit Mehta,standard,C2909,reporter,1
PID72046,Alit Mehtba,typo,C5327,witness,1
PID72046,Ameet Mehtaa,transliteration,C4103,suspect,1
PID57708,Amit Yadav,non_matching,C5660,victim,0
PID86782,Krishna Singh,standard,C4828,victim,1
PID86782,Kridshna Sringh,typo,C7702,witness,1
PID86782,Krishhna Singh,phonetic,C2169,witness,1
PID81418,Krishna Agarwal,non_matching,C3344,witness,0
PID22825,Manish Kumar,standard,C6189,witness,1
PID22825,Maanish Kumaar,transliteration,C3823,victim,1
PID22825,Manis Kumra,typo,C4023,witness,1
PID86210,Neha Joshi,standard,C1678,witness,1
PID86210,Nxeha Joshi,typo,C6937,suspect,1
PID12730,Vikram Joshi,non_matching,C8897,witness,0
PID36817,Ananya Joshi,standard,C3867,victim,1
PID36817,Annanya Joshhi,phonetic,C1008,witness,1
PID36817,Annanya Joshhi,phonetic,C8380,reporter,1
PID95434,Sanjay Trivedi,standard,C6112,victim,1
PID95434,Sannjay Trivedhi,phonetic,C2866,witness,1
PID61576,Arjun Kumar,standard,C4604,suspect,1
PID61576,Arjen Kukar,typo,C7720,witness,1
PID61576,Arjunn Kummar,phonetic,C2485,suspect,1
PID61576,Arjoon Koomar,transliteration,C4259,reporter,1
PID83753,Kavita Verma,standard,C8534,witness,1
PID83753,Kaavita Vermaa,transliteration,C1432,witness,1
PID83753,Kaita Vermoa,typo,C7556,reporter,1
PID83753,Kbavita Vermm,typo,C4794,suspect,1
PID59464,Amit Agarwal,standard,C6544,victim,1
PID59464,Amt Agarwl,typo,C4686,victim,1
PID59464,Amti Aagrwal,typo,C5316,suspect,1
PID98398,Pooja Yadav,standard,C2107,witness,1
PID98398,Puja Yaadav,transliteration,C3650,victim,1
PID98398,Pooja Yadab,phonetic,C6789,reporter,1
PID74954,Amit Joshi,standard,C6330,witness,1
PID74954,Ameet Josi,transliteration,C8524,reporter,1
PID59999,Varun Verma,standard,C2301,reporter,1
PID59999,Varoon Verma,transliteration,C2387,witness,1
PID59999,Vgarun Vera,typo,C1932,suspect,1
PID87697,Ananya Verma,standard,C1892,victim,1
PID87697,Aanya Vera,typo,C8412,suspect,1
PID87697,Annanya Verma,phonetic,C7530,reporter,1
PID87697,Aannya Verma,typo,C9699,witness,1
PID15302,Arjun Verma,standard,C7286,victim,1
PID15302,Arjoon Vermaa,transliteration,C6522,victim,1
PID15302,Arjoon Vermaa,transliteration,C4207,suspect,1
PID15302,Arjun Vermaa,transliteration,C2974,victim,1
PID81008,Krishna Singh,standard,C5989,suspect,1
PID81008,Krishra Siggh,typo,C4992,victim,1
PID81008,Krishnna Sinngh,phonetic,C3100,reporter,1
PID81008,Kreeshna Seengh,transliteration,C9620,suspect,1
PID91985,Ananya Sharma,standard,C8059,witness,1
PID91985,Anaanya Shaarma,transliteration,C6340,victim,1
PID91985,Anaanya Sharma,transliteration,C1029,witness,1
PID91985,Annanya Sharmma,phonetic,C2900,witness,1
PID20391,Pooja Joshi,standard,C8555,victim,1
PID20391,Pooa Josh,typo,C1591,witness,1
PID20391,Poojda Josh,typo,C2271,witness,1
PID20391,Pooja Joshhi,phonetic,C7520,reporter,1
PID21195,Aarav Verma,standard,C2343,witness,1
PID21195,Aaarav Vermaa,transliteration,C5163,reporter,1
PID21195,Aarv Vrema,typo,C3746,reporter,1
PID21195,Aara Vegma,typo,C8043,suspect,1
PID54321,Kavita Gupta,standard,C4724,witness,1
PID54321,Kavitha Guptha,phonetic,C8145,witness,1
PID85720,Ravi Shah,standard,C5251,witness,1
PID85720,Rabi Shah,phonetic,C1205,witness,1
PID80611,Pooja Shah,non_matching,C9207,reporter,0
PID88383,Neha Verma,standard,C7123,reporter,1
PID88383,Nehaa Verma,transliteration,C2107,witness,1
PID88383,Neha Vermma,phonetic,C4997,suspect,1
PID88383,Neha Vermma,phonetic,C2517,victim,1
PID92674,Aarav Sharma,standard,C3932,witness,1
PID92674,Aarab Sharmma,phonetic,C8905,witness,1
PID92674,Aarab Sharmma,phonetic,C7821,suspect,1
PID54896,Neha Chauhan,standard,C9394,victim,1
PID54896,Neha Chauhann,phonetic,C2025,reporter,1
PID54896,Nehv Chhauhan,typo,C3504,suspect,1
PID54896,Neeha Chauhann,typo,C9552,witness,1
PID49333,Suresh Verma,standard,C4222,victim,1
PID49333,Sooresh Vermaa,transliteration,C5703,reporter,1
PID22795,Deepak Sharma,standard,C5273,witness,1
PID22795,Deepavk Sahrma,typo,C4746,reporter,1
PID28638,Ananya Sharma,standard,C9195,reporter,1
PID28638,Anaanya Shaarma,transliteration,C6983,witness,1
PID28638,Annanya Sharma,phonetic,C2396,witness,1
PID28638,Anaanya Shaarma,transliteration,C8154,witness,1
PID32675,Arjun Sharma,non_matching,C2914,victim,0
PID80580,Ishaan Mehta,standard,C3493,witness,1
PID80580,Isaan Mehtaa,transliteration,C2366,suspect,1
PID53351,Kavita Mehta,non_matching,C6260,reporter,0
PID30507,Varun Yadav,standard,C2278,victim,1
PID30507,Vaarun Yadaw,transliteration,C4893,reporter,1
PID30507,Varun Yadab,phonetic,C2421,witness,1
PID30240,Ananya Chauhan,standard,C5241,suspect,1
PID30240,Anaanya Chaoohan,transliteration,C1166,reporter,1
PID30240,Annanya Chauhann,phonetic,C1801,suspect,1
PID57031,Pooja Sharma,standard,C4969,victim,1
PID57031,Poojaa Sharma,transliteration,C3386,suspect,1
PID57031,Puja Shaarma,transliteration,C2243,suspect,1
PID89540,Pooja Shah,non_matching,C8387,reporter,0
PID11077,Amit Agarwal,standard,C3440,witness,1
PID11077,Amith Agarval,phonetic,C9424,reporter,1
PID11077,Ameet Agaarwal,transliteration,C6124,witness,1
PID11077,Amit Agaarwal,transliteration,C8936,victim,1
PID57703,Neha Yadav,standard,C4339,suspect,1
PID57703,Nhea Yadsav,typo,C2094,victim,1
PID57703,Nehaa Yaadav,transliteration,C5022,reporter,1
PID44212,Aarav Mehta,standard,C9520,suspect,1
PID44212,Aaarv Mehtx,typo,C9455,victim,1
PID44212,Aarab Mehtha,phonetic,C1081,victim,1
PID67806,Aditya Choudhary,standard,C2181,witness,1
PID67806,Adityaa Chooodhary,transliteration,C1257,victim,1
PID67806,Adita Choudhray,typo,C8763,reporter,1
PID67806,Adithya Choudhhary,phonetic,C6632,suspect,1
PID70654,Aditya Singh,non_matching,C9914,witness,0
PID74748,Divya Singh,standard,C4658,reporter,1
PID74748,Divya Sinngh,phonetic,C6427,victim,1
PID74748,Dibya Sinngh,phonetic,C7496,suspect,1
PID74748,Dvya Simgh,typo,C2474,witness,1
PID92234,Divya Sharma,non_matching,C1755,reporter,0
PID72631,Vikram Choudhary,standard,C5251,victim,1
PID72631,Vikraam Chooodhary,transliteration,C9607,witness,1
PID72631,Veekram Choudhaary,transliteration,C8816,witness,1
PID72631,Veekram Choudhaary,transliteration,C5111,victim,1
PID56239,Vikram Verma,non_matching,C4160,suspect,0
PID97716,Shreya Kumar,standard,C9934,suspect,1
PID97716,Shrya Kuma,typo,C8286,suspect,1
PID97716,Sreya Kumgar,typo,C7947,suspect,1
PID56503,Ravi Choudhary,standard,C9001,suspect,1
PID56503,Ravv Chouudhary,typo,C3171,witness,1
PID56503,Ravl Cchoudhary,typo,C1110,reporter,1
PID60068,Amit Choudhary,standard,C3299,victim,1
PID60068,Ameet Choudhaary,transliteration,C4099,witness,1
PID60068,Ameet Chooodhary,transliteration,C9199,victim,1
PID60068,Amix Choudqhary,typo,C9828,victim,1
PID29564,Sanjay Verma,standard,C4334,suspect,1
PID29564,Sanjay Verma,phonetic,C9565,reporter,1
PID29564,Sanjay Verma,phonetic,C9040,victim,1
PID29564,Sanjmy Vera,typo,C4858,suspect,1
PID84002,Varun Joshi,standard,C5330,suspect,1
PID84002,Varunn Joshhi,phonetic,C2054,suspect,1
PID84002,Vfrun Johi,typo,C4881,suspect,1
PID84002,Varun Joshee,transliteration,C1705,victim,1
PID74800,Varun Agarwal,non_matching,C2627,victim,0
PID69311,Arjun Mehta,standard,C1235,victim,1
PID69311,Arjunn Mehta,phonetic,C1253,reporter,1
PID69311,Arjoon Mehtaa,transliteration,C8922,reporter,1
PID69311,Arjunn Mehtha,phonetic,C1869,suspect,1
PID67850,Deepak Gupta,standard,C1786,victim,1
PID67850,Decpak Gupat,typo,C9530,suspect,1
PID26128,Varun Agarwal,standard,C1723,witness,1
PID26128,Varun Agaarwal,transliteration,C4752,suspect,1
PID26128,Varun Agarval,phonetic,C7760,suspect,1
PID40698,Varun Yadav,non_matching,C8861,suspect,0
PID11322,Yash Mishra,standard,C8535,witness,1
PID11322,Yas Misra,transliteration,C5552,suspect,1
PID16705,Vikram Joshi,standard,C9616,witness,1
PID16705,Vikramm Joshhi,phonetic,C2400,witness,1
PID11774,Vikram Mehta,non_matching,C8791,victim,0
PID81194,Amit Agarwal,standard,C2594,witness,1
PID81194,Ammit Agarval,phonetic,C4075,reporter,1
PID81194,Aimt Agarawl,typo,C1190,victim,1
PID81194,Ameet Agaarwal,transliteration,C2564,witness,1
PID91249,Kavita Agarwal,non_matching,C2359,suspect,0
PID99374,Sanjay Mishra,standard,C3925,witness,1
PID99374,Saanjay Misra,transliteration,C6249,witness,1
PID99374,Sanjay Mishra,phonetic,C2725,suspect,1
PID99374,Sanjay Mishra,phonetic,C4637,suspect,1
PID57958,Amit Gupta,standard,C2195,suspect,1
PID57958,Amit Goopta,transliteration,C5745,suspect,1
PID57958,Aimt Guptja,typo,C9024,victim,1
PID21756,Amit Mishra,non_matching,C9138,reporter,0
PID65135,Sanjay Mehta,standard,C6656,reporter,1
PID65135,Saanjay Mehtaa,transliteration,C8238,witness,1
PID65135,Sannjay Mehtha,phonetic,C4748,reporter,1
PID65135,Sanoay Mheta,typo,C1494,reporter,1
PID61295,Varun Verma,standard,C9339,suspect,1
PID61295,Varun Vermaa,transliteration,C2849,witness,1
PID61295,Vaarun Vermaa,transliteration,C6823,victim,1
PID65306,Shreya Choudhary,standard,C9057,reporter,1
PID65306,Shreyaa Chooodhary,transliteration,C7152,reporter,1
PID65306,Shreyaa Chooodhary,transliteration,C6544,witness,1
PID65306,Shreya Choudhhary,phonetic,C4891,witness,1
PID72296,Rahul Patel,standard,C2151,witness,1
PID72296,Raahul Paatel,transliteration,C7676,suspect,1
PID72296,Rahul Pathel,phonetic,C3153,witness,1
PID52558,Aarav Patel,non_matching,C4718,witness,0
PID93509,Aarav Yadav,standard,C9362,victim,1
PID93509,Aaraw Yadaw,transliteration,C2719,witness,1
PID90602,Ravi Sharma,standard,C6901,witness,1
PID90602,Rabi Sharmma,phonetic,C4880,suspect,1
PID90602,Raavi Sharma,transliteration,C8176,reporter,1
PID11018,Ananya Joshi,standard,C9359,suspect,1
PID11018,Aanya Johsi,typo,C6563,witness,1
PID90324,Aarav Gupta,standard,C1958,reporter,1
PID90324,Aarva Gutpa,typo,C4103,witness,1
PID60097,Aarav Gupta,standard,C8578,victim,1
PID60097,Aarab Guptha,phonetic,C2890,reporter,1
PID56961,Vikram Chauhan,standard,C2027,reporter,1
PID56961,Vikram Chauhann,phonetic,C4889,witness,1
PID56961,Vikramm Chauhann,phonetic,C4800,suspect,1
PID56961,Vikramm Chauhann,phonetic,C6028,suspect,1
PID22588,Suresh Choudhary,standard,C8348,suspect,1
PID22588,Sooresh Chooodhary,transliteration,C8738,victim,1
PID22588,Sureshh Choudhhary,phonetic,C8473,suspect,1
PID22588,Sureshh Choudhhary,phonetic,C1178,witness,1
PID84734,Suresh Yadav,non_matching,C5401,reporter,0
PID25834,Rahul Yadav,standard,C3658,victim,1
PID25834,Rahul Yadhav,phonetic,C6628,victim,1
PID78359,Ananya Shah,standard,C1255,reporter,1
PID78359,Annanya Shah,phonetic,C4076,witness,1
PID78359,Annanya Shah,phonetic,C9249,witness,1
PID78359,Aneanya Sahh,typo,C5839,witness,1
PID64780,Pooja Choudhary,standard,C2540,suspect,1
PID64780,Poojaa Choudhaary,transliteration,C6461,witness,1
PID64780,Pooja Choudhhary,phonetic,C3591,victim,1
PID26303,Pooja Trivedi,standard,C1468,witness,1
PID26303,Poojr Teivedi,typo,C5131,victim,1
PID26303,Pooja Trivdei,typo,C4239,victim,1
PID26303,Puja Triwedi,transliteration,C1203,witness,1
PID70038,Neha Gupta,standard,C2056,victim,1
PID70038,Nehaa Goopta,transliteration,C5995,reporter,1
PID70038,Neha Guptha,phonetic,C3465,suspect,1
PID29475,Aarav Gupta,non_matching,C1664,witness,0
PID21617,Neha Mehta,standard,C9233,witness,1
PID21617,Neha Mehta,phonetic,C2597,victim,1
PID20096,Neha Agarwal,standard,C3932,witness,1
PID20096,Nehaa Agaarwal,transliteration,C5942,victim,1
PID20096,Neha Agarval,phonetic,C9497,victim,1
PID20096,Newha Agawral,typo,C6109,witness,1
PID98292,Amit Trivedi,standard,C8884,witness,1
PID98292,Amcit Trievdi,typo,C9410,suspect,1
PID77155,Ananya Singh,standard,C2410,suspect,1
PID77155,Annanya Sinngh,phonetic,C9177,suspect,1
PID77155,Ananaya Sjngh,typo,C5088,witness,1
PID21524,Divya Patel,standard,C3202,reporter,1
PID21524,Divfa Pate,typo,C7056,reporter,1
PID78263,Yash Verma,standard,C6187,reporter,1
PID78263,Yashh Verma,phonetic,C9437,witness,1
PID99302,Varun Trivedi,standard,C6454,reporter,1
PID99302,Varun Tribedi,phonetic,C7302,victim,1
PID41332,Pooja Kumar,standard,C9863,reporter,1
PID41332,Poocja Kuma,typo,C8372,victim,1
PID41332,Puja Koomar,transliteration,C6699,reporter,1
PID41332,Poja Kzumar,typo,C1415,reporter,1
PID13946,Deepak Yadav,standard,C4272,witness,1
PID13946,Dipak Yadaw,transliteration,C1700,reporter,1
PID64851,Deepak Kumar,non_matching,C6896,witness,0
PID92833,Varun Choudhary,standard,C9648,suspect,1
PID92833,Varun Choudhaary,transliteration,C7357,witness,1
PID92833,Vyrun Choudahry,typo,C2378,suspect,1
PID62152,Arjun Choudhary,non_matching,C5441,reporter,0
PID98163,Gaurav Verma,standard,C6798,suspect,1
PID98163,Gauraw Vermaa,transliteration,C6527,witness,1
PID98163,Gauraw Vermaa,transliteration,C5043,suspect,1
PID35495,Ananya Trivedi,standard,C3818,suspect,1
PID35495,Anaanya Triwedi,transliteration,C8266,suspect,1
PID99673,Ishaan Yadav,standard,C4119,witness,1
PID99673,Ishhaan Yadhav,phonetic,C4210,suspect,1
PID91130,Pooja Singh,standard,C2395,witness,1
PID91130,Poojaa Seengh,transliteration,C3966,suspect,1
PID91130,Pooja Sinngh,phonetic,C7962,victim,1
PID91130,Poojaa Seengh,transliteration,C5642,reporter,1
PID27461,Sanjay Kumar,standard,C7879,reporter,1
PID27461,Saanjay Kumaar,transliteration,C1097,witness,1
PID27461,Sannjay Kummar,phonetic,C1460,suspect,1
PID27461,Saanjay Kumaar,transliteration,C1424,reporter,1
PID10438,Sanjay Joshi,standard,C9424,reporter,1
PID10438,Snnjay Josih,typo,C9370,reporter,1
PID10438,Saanjay Joshee,transliteration,C5481,reporter,1
PID25314,Yash Sharma,standard,C9281,witness,1
PID25314,Yas Shaarma,transliteration,C2433,witness,1
PID91947,Deepak Sharma,non_matching,C6158,suspect,0
PID87355,Suresh Patel,standard,C1628,victim,1
PID87355,Surseh Petel,typo,C5501,suspect,1
PID87355,Suesh Ptel,typo,C3995,victim,1
PID79437,Suresh Choudhary,non_matching,C1070,victim,0
PID98936,Suresh Sharma,standard,C4783,witness,1
PID98936,Sureshh Sharma,phonetic,C3369,reporter,1
PID98936,Sursh Sharfa,typo,C9753,victim,1
PID69653,Rahul Mehta,standard,C5176,reporter,1
PID69653,Raahul Mehtaa,transliteration,C3083,victim,1
PID69653,Rahool Mehtaa,transliteration,C2881,witness,1
PID69653,Raul Mehtq,typo,C3595,witness,1
PID56420,Rahul Patel,non_matching,C6363,witness,0
PID82844,Suresh Shah,standard,C6761,victim,1
PID82844,Suresnh Sahh,typo,C5420,witness,1
PID82844,Suresdh Sahh,typo,C1738,reporter,1
PID97549,Deepak Mehta,standard,C8494,reporter,1
PID97549,Deepak Mehtha,phonetic,C6582,suspect,1
PID36555,Amit Mishra,standard,C2811,witness,1
PID36555,Amit Mishrya,typo,C3339,suspect,1
PID56633,Yash Mehta,standard,C5634,victim,1
PID56633,Yashh Mehtha,phonetic,C1541,reporter,1
PID12360,Lakshmi Chauhan,standard,C2255,suspect,1
PID12360,Lakshmmi Chauhann,phonetic,C2197,witness,1
PID12360,Laksmi Chaauhan,transliteration,C8169,witness,1
PID12360,Lakshmmi Chauhann,phonetic,C7997,reporter,1
PID87753,Yash Shah,standard,C1713,reporter,1
PID87753,Ysah Shazh,typo,C6332,victim,1
PID87753,Yas Shah,transliteration,C7529,victim,1
PID87753,Ysh Shh,typo,C7205,reporter,1
PID87622,Kavita Gupta,standard,C2799,reporter,1
PID87622,Kabita Guptha,phonetic,C5904,victim,1
PID87622,Kaavita Goopta,transliteration,C4859,victim,1
PID77405,Aarav Mishra,standard,C3130,witness,1
PID77405,Aarab Mishra,phonetic,C5694,reporter,1
PID77405,Aaarav Misra,transliteration,C3892,witness,1
PID55081,Ishaan Verma,standard,C3492,victim,1
PID55081,Ishhaan Vermma,phonetic,C5068,witness,1
PID97317,Ravi Choudhary,standard,C8159,suspect,1
PID97317,Raai Choduhary,typo,C3918,victim,1
PID97317,Rabi Choudhhary,phonetic,C9289,suspect,1
PID97317,Rabi Choudhhary,phonetic,C3596,victim,1
PID33418,Amit Gupta,standard,C3181,witness,1
PID33418,Amith Guptha,phonetic,C1766,witness,1
PID53810,Manish Mehta,standard,C8336,witness,1
PID53810,Maneesh Mehtaa,transliteration,C9719,suspect,1
PID53810,Manioh Mehtra,typo,C9689,reporter,1
PID53810,Maneesh Mehtaa,transliteration,C2285,witness,1
PID14908,Deepak Trivedi,standard,C4754,suspect,1
PID14908,Deepsak Tpivedi,typo,C3495,witness,1
PID45785,Shreya Agarwal,standard,C2972,witness,1
PID45785,Shreyxa Aarwal,typo,C1207,witness,1
PID45785,Shreyaa Agaarwal,transliteration,C3773,reporter,1
PID45785,Shreyt Agarvwal,typo,C7165,witness,1
PID49214,Shreya Patel,non_matching,C1765,victim,0
PID97130,Divya Shah,standard,C9854,witness,1
PID97130,Deevya Shaah,transliteration,C5722,suspect,1
PID97130,Diva Sah,typo,C5183,witness,1
PID34190,Ravi Trivedi,standard,C6851,suspect,1
PID34190,Ravv Trmivedi,typo,C2405,suspect,1
PID34190,Rabi Trivedi,phonetic,C8492,victim,1
PID14878,Aarav Gupta,standard,C7085,witness,1
PID14878,Aaarav Guptaa,transliteration,C8604,victim,1
PID14878,Aarab Guptha,phonetic,C2186,reporter,1
PID42860,Divya Shah,standard,C8926,victim,1
PID42860,Diwya Shaah,transliteration,C5976,suspect,1
PID42860,Diwya Shaah,transliteration,C5574,reporter,1
PID47510,Ishaan Shah,non_matching,C3452,victim,0
PID47346,Suresh Chauhan,standard,C2229,reporter,1
PID47346,Suxresh Cahuhan,typo,C5891,suspect,1
PID47346,Sureshh Chauhann,phonetic,C2662,suspect,1
PID95722,Aditya Kumar,standard,C8230,suspect,1
PID95722,Aidtya Kumaur,typo,C1720,witness,1
PID98379,Vikram Shah,standard,C6023,witness,1
PID98379,Vikram Shah,phonetic,C8833,reporter,1
PID91801,Krishna Shah,non_matching,C8785,witness,0
PID87951,Amit Trivedi,standard,C7510,witness,1
PID87951,Ammit Tribedi,phonetic,C7911,witness,1
PID87951,Amt Triveid,typo,C6070,victim,1
PID88548,Amit Agarwal,non_matching,C2671,victim,0
PID34877,Gaurav Gupta,standard,C9899,victim,1
PID34877,Gaaurav Guptaa,transliteration,C8063,reporter,1
PID42529,Varun Verma,standard,C4413,victim,1
PID42529,Varun Vermaa,transliteration,C9217,witness,1
PID42529,Vaurn Vera,typo,C7327,suspect,1
PID42529,Varun Vermma,phonetic,C2630,witness,1
PID25384,Varun Sharma,standard,C2942,victim,1
PID25384,Vaarun Sharma,transliteration,C9256,victim,1
PID68219,Sanjay Sharma,non_matching,C1018,reporter,0
PID18553,Deepak Yadav,standard,C4183,reporter,1
PID18553,Deepaak Yaadav,transliteration,C9733,witness,1
PID18553,Deepak Yadao,typo,C8735,reporter,1
PID71591,Suresh Yadav,non_matching,C3692,suspect,0
PID95214,Aditya Gupta,standard,C7803,suspect,1
PID95214,Adityma Gputa,typo,C2077,victim,1
PID20461,Aarav Kumar,standard,C8575,suspect,1
PID20461,Aarab Kummar,phonetic,C8888,witness,1
PID20461,Aara Kumaa,typo,C8877,suspect,1
PID20461,Azarav Kmuar,typo,C6129,suspect,1
PID37749,Krishna Chauhan,standard,C4654,reporter,1
PID37749,Kurishna Cnauhan,typo,C4616,reporter,1
PID37749,Krishn Ccauhan,typo,C1578,suspect,1
PID37749,Kbrishna Chauhahn,typo,C5123,reporter,1
PID37720,Ishaan Mishra,standard,C6299,suspect,1
PID37720,Ishhaan Mishhra,phonetic,C8811,victim,1
PID37720,Ishaaan Misra,transliteration,C1966,victim,1
PID34674,Ishaan Agarwal,non_matching,C8358,witness,0
PID91330,Kavita Sharma,standard,C4894,victim,1
PID91330,Kavitha Sharmma,phonetic,C8014,victim,1
PID91330,Kavitha Sharma,phonetic,C7478,witness,1
PID91330,Kaavita Shaarma,transliteration,C1252,reporter,1
PID64380,Suresh Sharma,standard,C8227,suspect,1
PID64380,Sureshh Sharma,phonetic,C6823,witness,1
PID64380,Sureshh Sharmma,phonetic,C6013,victim,1
PID64380,Sursh Shrama,typo,C8541,witness,1
PID87575,Deepak Choudhary,standard,C5760,reporter,1
PID87575,Deehpak Choidhary,typo,C8398,victim,1
PID87575,Dipak Choudhaary,transliteration,C3837,suspect,1
PID66179,Manish Sharma,standard,C4781,reporter,1
PID66179,Mmnish Shara,typo,C6609,reporter,1
PID89638,Manish Verma,non_matching,C3793,reporter,0
PID40216,Kavita Yadav,standard,C5546,victim,1
PID40216,Kvaita Yadv,typo,C7189,suspect,1
PID40216,Kavitw Yadv,typo,C9134,reporter,1
